what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333917871148
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333917881322
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1333918519464
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333918522377
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333918558549
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1333918578555
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333918579544
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333918596639
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333918604496
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333918620984
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1333918625408
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333918626229
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333918633152
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1333918637064
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333918638425
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333918673893
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333918675723
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333918679852
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333918685269
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333918695385
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1333918728768
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333918731611
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333918740359
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333918750823
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333918755456
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1333918756384
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1333918759054
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1333918791983
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333918793720
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333918818793
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1333918853583
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1333918854630
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333918858299
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333918895976
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1333918906786
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1333918914566
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1333918915404
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1333918923218
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1333918927709
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1333918928461
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333918930297
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333918949164
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1333918968858
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333918971026
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333918980468
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1333918990269
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1333918993134
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1333918993916
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333918994928
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333919001341
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1333919016689
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1333919017206
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1333919017644
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1333919017899
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1333919018421
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1333919018728
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1333919019440
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1333919020671
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1333919021185
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1333919021666
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1333919022008
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1333919022371
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1333919023403
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1333919024260
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1333919024802
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1333919025323
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1333919025574
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1333919025810
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1333919026131
