what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1334043729754
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334043730903
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334043740637
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1334043745248
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334043746001
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334044242230
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1334044263577
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334044264407
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334044295668
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1334044299757
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334044300598
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334044306622
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1334044350632
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334044352399
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334044357745
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1334044371229
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334044371867
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334044382458
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334044431062
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334044437969
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1334044440472
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1334044443188
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334044444795
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334044462125
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334044475662
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334044495556
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1334044562840
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1334044599206
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1334044628064
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1334044644407
activated,editor,com.aptana.editor.html,3.0.3.1326238925,"com.aptana.editor.html",1334044646386
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1334044702958
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1334044707205
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1334044732712
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1334044735252
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1334044777268
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334044779528
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334044786412
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1334044794408
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334044794848
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1334044843260
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1334044843738
activated,editor,com.aptana.editor.html,3.0.3.1326238925,"com.aptana.editor.html",1334044858012
